事件id,事件名称,朝代,时期,年号,年份,事件简介,事件内容,检索词,事件类别,特征类别,一级地点,二级地点,相关人物,相关作品
494,袁可嘉创作视角转变,现当代,现当代,,1947年,袁可嘉创作视角转向现实和社会,袁可嘉是中国当代诗坛中“九叶诗派”的重要成员，他不是高产诗人，自1941年发表第一篇诗歌《死》以来，他的诗歌作品总计三十余首，他也是九叶诗派中唯一一个没出版个人诗集的诗人，在文学史上他多以诗论家、翻译家的身份出现。袁可嘉的诗歌写作早期以戴望舒、卞之琳等人为模仿对象，进行偏重于内心的玄言诗的创作。诗人自称“1947年以后，我走上了自己的道路。”创作视角开始转向现实和社会，将个体对命运的思索和对社会的认识结合起来。诗人将现实、象征和玄学结合起来，他认为：“现实表现于对当前世界人生的紧密把握，象征表现于暗示含蓄，玄学则表现于敏感多思，感情、意志的强烈结合及机智的不时流露。”《南京》正是这个阶段的优秀之作，表现出这位诗人“强烈的自我意识中的同样强烈的社会”，他以诗歌来表现当前社会境况，把底层社会大众生活当作他诗歌三棱镜的观照焦点,袁可嘉,作者事件,文人+事件,,,袁可嘉,《南京》
496,梁鸿志召集雅集,现当代,现当代,,1939年,梁鸿志召集雅集进行旧体诗词活动,这个时期旧体诗词活动主要以文人雅集的形式进行，汪伪时期的监察院长梁鸿志主持的西园雅集活动比较密集。梁鸿志旧学功底深厚，曾投在陈衍门下学诗，是同光体诗人中的重要人物。四十年代他主动事敌，位高权重，资金丰厚，因此1939年4月及10月多次召集在行政院花园（今总统府内行政院花园）雅集，参与者有陈方恪[1]、陈道量、李释戡、李石九兄弟等人，众人饮酒唱和，分韵完成《己卯上巳爰居阁主人召集，褉饮于廨宇之西园，分韵得犹字》，10月的雅集队伍进一步扩大，江伯修、陈道量、汪仲虎、曹靖陶、吴用威等十人欢聚于西园石舫“不系舟”之上，分韵创作《己卯重九爰居阁主人宴集西园夕佳亭，分韵得画字》。[2]从西园雅集的参与者来看，这是以晚清民初的遗老遗少为主的同光体诗人们的文化聚会，其用意不仅在于旧体诗词的创作传播，也是伪政府复古保守的文化政策的体现。,西园雅集,活动,文人+事件,,行政院花园（今总统府内行政院花园）,梁鸿志、陈衍门、陈方恪、陈道量、李释戡、李石九、江伯修、汪仲虎、曹靖陶、吴用威,《己卯上巳爰居阁主人召集，褉饮于廨宇之西园，分韵得犹字》、《己卯重九爰居阁主人宴集西园夕佳亭，分韵得画字》
497,李释堪组织雅集,现当代,现当代,,1942年,李释堪组织雅集是旧体诗词创作的重要场域,除了西园雅集之外，1942年李释堪组织的桥西草堂雅集也被称为“星饭会”，同样是四十年代旧体诗词创作的重要场域，雅集成员有陈方恪、龙榆生、陈道量、冒孝鲁、钱仲联等学界专家、书画艺术专家。,西园雅集,活动,文人+事件,,,李释堪、陈方恪、龙榆生、陈道量、冒孝鲁、钱仲联,
500,范式之、林娜、李克痕、郭歧、白芜发表南京大屠杀相关文学作品，揭露日军暴行,现当代,现当代,,1938年,范式之作品《敌蹂躏下的南京》、林娜《血泪话金陵》、李克痕《陷京五月记》、郭歧《陷都血泪录》、白芜《今日之南京》等报告文学都记录了南京大屠杀，揭露日军恶劣行径,1938年《武汉报》记者范式之根据2月16日自南京逃出的难民萧某、王某的口述资料完成了报告文学作品《敌蹂躏下的南京》，揭露日军在南京泯灭人性的屠杀，作者告诫那些因生计无着、思乡心切以致开始返乡的流亡难民，千万不要低估日军的残暴，万勿落入敌人已占领的狼窝虎穴，避免被蹂躏杀戮的悲惨命运。1938年7月《宇宙风》第71期中刊载了林娜根据难民口述完成的《血泪话金陵》，文中提到日军进城后屠杀难民、烧杀劫掠、奸淫妇女的种种罪行，作品文字直白，结构简单，近似口述历史实录，对沦陷后的南京人民的生活做了真实的记载。李克痕是南京沦陷时某文化机关职员，因妻病母衰而滞留于南京，1938年6月出逃，写作了《陷京五月记》，1938年7月连载于武汉《大公报》。文中记录日军12月10日开始放火烧城，作者、母亲和重病的妻子火中逃生，风餐露宿80余日后妻子病故。南京城内难民区有名无实，日军如入无人之境，四处烧杀抢奸，灭绝人性。南京沦陷前担任守军营长的郭歧1938年8月在《西京平报》上发表《陷都血泪录》，这部作品是他在日军攻入南京后躲进难民区，三个月后出逃成功，根据自己的亲身经历完成的。文章记录了关于南京大屠杀的诸多惨状。日军不承认难民区，派军队入驻大举搜查。十余万同胞被杀害，屠杀之后的登记更是百般为难。女性惨遭蹂躏，财物和生命全无保障，作者本人也是历经凶险、九死一生才逃出南京。1938年11月白芜出版了《今日之南京》，这部作品集中报道了南京大屠杀后从魔窟脱身的百姓的亲身经历，无辜的平民惨遭杀戮，字字血泪控诉日军入城后的暴行、南京民众遭遇的苦难及不屈反抗的事迹等。这些报告文学作品对沦陷后的南京惨状的记录是南京现代史的一部分，也是当时激发民族热情的有力工具。这些报告文学作品对沦陷后的南京惨状的记录是南京现代史的一部分，也是当时激发民族热情的有力工具。,南京大屠杀,作品事件,文人+作品+作品内容,,,范式之、林娜、李克痕、郭歧、白芜,《敌蹂躏下的南京》、《血泪话金陵》、《宇宙风》、《西京平报》、《陷都血泪录》、《今日之南京》、《陷京五月记》、《大公报》
501,陈鹤琴、海燕收录文章,现当代,现当代,,1938年,陈鹤琴、海燕收录文章编《敌军暴行记》揭露日军暴行,1938年3月陈鹤琴、海燕收录当时中外报刊上发表的揭露日军暴行的报导通讯文章，编《敌军暴行记》，由中央图书公司1938年3月出版。其中《首都沦陷记》即刊载于1938年2月20日、21日《大公报（汉口版）上的长篇电讯《陷后南京惨象》，记述几位从南京逃抵武汉的难民向记者所谈日军南京大屠杀的暴行；署名为“佚名”的《在黑地狱中的民众》是转载自1938年2月20日《大公报》汉口版“敌寇万恶录”专栏刊登的《陷落后的南京》一文，系一位自称总队的小职员署名“袁蔼瑞”的记者所写下的他在日军南京大屠杀期问的亲身经历与所见所闻。《首都沦陷记》写的是抗战期间，南京城被日寇攻陷后所遭受的劫难，笔调沉重，读来令人窒息。“自敌军进城后之一月，全部南京沦入黑暗时代，难民区外火焰蔓延，焦土一片，抢劫横行，渺无人烟；难民区内屠杀奸淫，任意摧残。”“在京数十万难民，精神肉体皆惨遭奇辱”，但他们对抗战仍保有信心。,《敌军暴行记》,作品事件,文人+作品+作品内容,,,陈鹤琴、海燕,《敌军暴行记》、《首都沦陷记》、《大公报（汉口版）、《陷后南京惨象》，
502,蒋公榖写作文章,现当代,现当代,,1938年,蒋公榖写作《陷京三月记》揭露日军暴行,蒋百里之侄蒋公榖于1937年浙沪会战期间到南京担任军医，日军进入南京城后，他在南京城中东躲西藏，苟且偷生，近3个月后才伺机逃出日军魔掌离开南京。1938年蒋公榖“凭着记忆，用日记体裁” 写作《陷京三月记》，完整真实地记录了自己从1937年12月至1938年2月在沦陷的南京的所见所闻，这部日记是历史的再现，也是日军暴行的罪证。,《陷京三月记》,作品事件,文人+作品+作品内容,,,蒋公榖,《陷京三月记》
503,林娜揭露日军暴行,现当代,现当代,,1938年,《血泪话金陵》揭露日军暴行,1938年7月《宇宙风》第71期中刊载了林娜根据难民口述完成的《血泪话金陵》，文中提到日军进城后屠杀难民、烧杀劫掠、奸淫妇女的种种罪行，“全南京堆积的都是尸骸”。红十字会召集人手掩埋尸体，最初一坑200人，被虐杀者全是平民。后来“他们抓到我们的俘虏，就命令他们自己挖坑，叫第二批去埋第一批的，又迫第三批人去埋第二批的。”从12月13日日军进城到1938年5月20日“掩埋尸骸的工作从未停止，其实埋也埋不了，一批被埋掉，马上又有一批新的来补充。因此时疫丛生，不死了于屠杀下，也要死于时疫。”日军在城内组织汉奸横征暴敛、设立毒品公卖局和慰安所。篇末难民描述了自己逃出南京的艰难过程，呼吁“不要忘记为死难者复仇！”作品文字直白，结构简单，近似口述历史实录，对沦陷后的南京人民的生活做了真实的记载。,《宇宙风》,作品事件,作品+作品内容,,,林娜,《血泪话金陵》、《宇宙风》
504,郭歧记录南京大屠杀,现当代,现当代,,1938年,郭歧发表作品《陷都血泪录》记录南京大屠杀,南京沦陷前担任守军营长的郭歧1938年8月在《西京平报》上发表《陷都血泪录》，这部作品是他在日军攻入南京后躲进难民区，三个月后出逃成功，根据自己的亲身经历完成的。文章记录了关于南京大屠杀的诸多惨状。日军不承认难民区，派军队入驻大举搜查。“兽兵认为可杀的人是中国兵、警察、宪兵、学生、壮丁、小学教员，到无词可借时就说是机关上的公务人员。”十余万同胞被杀害，屠杀之后的登记更是百般为难。女性惨遭蹂躏，财物和生命全无保障，作者本人也是历经凶险、九死一生才逃出南京。,《陷都血泪录》,作品事件,文人+作品+作品内容,,,郭歧,《西京平报》、《陷都血泪录》
505,白芜记录南京大屠杀,现当代,现当代,,1938年,白芜出版《今日之南京》记录南京大屠杀,1938年11月白芜出版了《今日之南京》，这部作品集中报道了南京大屠杀后从魔窟脱身的百姓的亲身经历，无辜的平民惨遭杀戮，字字血泪控诉日军入城后的暴行、南京民众遭遇的苦难及不屈反抗的事迹等。出版社总编张友鸾在序言中痛苦地说：“去年离开南京的时候，是一个阴雨的晚上。南京的面目如何了？《今日之南京》作整个的记录，在南京晚报上刊登的时候，多少人天天找这一栏看，多少人心里最难过是看这一栏。这是一篇古今中外不曾有过的‘大账’，白芜兄乃是脑清心细的会计师。瞧瞧恶兽欠下我们诺大的债款，我们将如何一笔一笔的索偿？扬州十日，嘉定三屠，在历史上只算得小宗贷款了”。这些报告文学作品对沦陷后的南京惨状的记录是南京现代史的一部分，也是当时激发民族热情的有力工具。,《今日之南京》,作品事件,文人+作品+作品内容,,,白芜,《今日之南京》
506,李克痕记录南京大屠杀,现当代,现当代,,1938年,李克痕写作《陷京五月记》记录南京大屠杀,李克痕是南京沦陷时某文化机关职员，因妻病母衰而滞留于南京，1938年6月出逃，写作了《陷京五月记》，1938年7月连载于武汉《大公报》。文中记录日军12月10日开始放火烧城，作者、母亲和重病的妻子火中逃生，风餐露宿80余日后妻子病故。南京城内难民区有名无实，日军如入无人之境，四处烧杀抢奸，灭绝人性。篇末呼吁“我们要亟起复仇，为我死难同胞复仇！”,李克痕,作品事件,文人+作品+作品内容,,,李克痕,《陷京五月记》、《大公报》
507,吴浊流写所见所感,现当代,现当代,,1941年-1942年,吴浊流所见所感被辑录为《南京杂感》,吴浊流因不满日本在台湾地区的暴力统治，1941年1月12日至1942年3月21日在南京《大陆新报》任记者，用日文写作了自己的所见所感，这些文章后来辑录为《南京杂感》。文中吴浊流格外关注在南京的民众妥协绥靖、得过且过的状态，民族情绪似乎并不高涨。书中吴浊流描述了台湾人的尴尬处境：“章君还提醒我，应该隐秘台湾人的身份。……我们约好对外说是广东梅县人。……在大陆，一般地都以‘番薯仔’代替台湾人。要之，台湾人被目为日本人的间谍，……那是可悲的存在。这原因，泰半是由于战前，日本人把不少台湾的流氓遣到厦门，教他们经营赌场和鸦片窟，以治外法权包庇他们，供为己用。结果祖国人士皂白不分，提到台湾人就目为走狗。这也是日本人的离间政策之一。开战后日本人再也不信任台湾人，只是利用而已。台湾人之中有不少是抗战分子，为祖国而效命，经常都受着日本官宪监视。来到大陆，我这明白了台湾人所处的立场是复杂的。”这种强烈的隔膜感后来被吴浊流写入小说《亚细亚的孤儿》中，成为主人公胡太明的身份定位。,吴浊流,作品事件,文人+作品+作品内容,,,吴浊流,《大陆新报》、《亚细亚的孤儿》
510,卢前对南京感情深厚,现当代,现当代,,,卢前创作许多南京主题作品,卢前生于南京，对南京怀有深厚的感情。抗战爆发后举家逃难去安徽无为，之后辗转到重庆。在逃难过程中他创作了《南京杂忆》，收入《炮火中流亡记》，与《关洛劳军记》《上吉山典乐记》《还乡日记》一同被收录到散文集《丁乙间四记》（南京读者之友社，1946）。,卢前,作者事件,文人+作品特点,,,卢前,《南京杂忆》、《炮火中流亡记》、《关洛劳军记》、《上吉山典乐记》、《还乡日记》、《丁乙间四记》（南京读者之友社，1946）
512,郭沫若创作《南京印象》,现当代,现当代,,1946年,《南京印象》记录国共和谈的过程,郭沫若在1946年6月20日至6月26日作为第三方代表，参加旧政协，促进国共和谈工作。他将自己一周的经历和对南京的观感写成了散文集《南京印象》，上海群益出版社1946年11月出版。散文集中分为17小节，分别是“初访兰家庄/漫游鸡鸣寺/拜码头/梅园新村之行/‘国民大会’场一席谈/以文会友/二十四小时了/谒陵/失悔不是军人/疑在马尼刺/游湖/慰问人民代表/假如我是法西斯蒂/秦淮河畔/失掉了一枝笔/慰问记者/南京哟，再见”。在《梅园新村之行》中热情赞颂周公“轩昂的眉宇，炯炯的眼光，清朗的谈吐，依然是那样的有神。对于任何的艰难困苦都不会避易的精神，放射着令人镇定、也令人乐观的毅力。我在心坎里，深深地为人民，祝祷他的健康。”之后他与国民党左派将领冯玉祥等人在“阵阵浓烈的荷香扑鼻相迎”的玄武湖中畅游并纵谈国事。在工余假日晋谒中山陵、游览明孝陵。在夫子庙前，秦淮河畔沉思憧憬，何时世界才能改天换地，秦淮河水清澈，河面上漂浮的不再是卖歌的画舫，而是激昂欢快的人民的歌声。《南京印象》一书记录了国共和谈的过程，从私人的角度对南京风貌进行展示，并揭露了国民党假和谈、真破坏的反动面目。,郭沫若,作者事件,作品+作品内容,,,郭沫若,《南京印象》
514,路翎完成四幕剧,现当代,现当代,,1942年,路翎完成知识分子题材剧作四幕剧《云雀》,1942年4月路翎完成知识分子题材剧作四幕剧《云雀》，同年6月南京国立戏剧专科学校附属剧团将它搬上舞台。在这出剧作中作者塑造了四位知识分子形象：李立人(自觉地以集体主义泯灭个性主义)、陈芝庆(以自戕来完成个性)、王品群(极端阴暗的个人主义者)和周望海(寻找个性主义与集体主义的契合)，以四位知识分子不同的性格和命运来展示混乱时代里知识分子的心路历程。胡风在《为〈云雀〉上演写的》一文中认为：“《云雀》虽然只有四个人物，四种不同的代表的性格，但真正的主角确是通过这四个人物所宣示出来的，冷酷而磅礴的，轰轰然前进的现实历史自己。”,《云雀》,作者事件,文人+作品,,,路翎、李立人、陈芝庆、王品群、周望海,《云雀》
770,南京诗社,明,明,正统,,,正统时期，金陵有结社名为南京诗社，社友有倪谦等。《倪文僖集》卷一八《冶亭登高诗序》：“九日登高，厥有故事。而南京诗社诸君子，每岁九月九日，携酒肴登城南之雨花台，更畨作主以为乐。”,,,,金陵,雨花台,倪谦,《冶亭登高诗序》
771,蒋主孝南京结社,明,明,正统,,,正统初，金陵有结社名为蒋主孝南京结社，社友有蒋主孝、苏雪溪。《倪文僖集》卷二九《蒋务本先生墓志铭》：“正统初，与苏雪溪、刘草窗、沈崆峒、王金粟及弟主忠结为诗社。”,,,,金陵,,蒋主孝、苏雪溪、刘草窗、沈崆峒、王金粟、主忠,《蒋务本先生墓志铭》
772,南都吟社,明,明,正统,1448年,,正统十三年，金陵有结社名为南都吟社，社友有周叙、方冕、贺确、王麟、邵以诚等。《篁墩文集》卷二二《志云先生集序》：“时周公分院南京，职务清简，约先生数人者为诗社，日徜徉乎白下山水之间。”,,,,金陵,白下,周叙、方冕、贺确、王麟、邵以诚,《志云先生集序》
773,续南京结社/周仁俊结社,明,明,天顺,,,天顺时期，金陵有结社名为续南京结社/周仁俊结社，社友有周仁俊、宋士皋、刘有融、王之深、陶元素、彭大用等约20人。《倪文僖集》卷一八《冶亭登高诗序》：“惟正统已已，以朝廷有事不果登。今年八月十六日，恭闻太上皇帝銮舆还复，民惘不忻忭。于是大司空周公之子仁俊作主，折简速宾，欲寻旧盟。”,,,,金陵,,周仁俊、宋士皋、刘有融、王之深、陶元素、彭大用,《冶亭登高诗序》
774,程敏政南京结社,明,明,成化,1486年,,成化二十二年，金陵有结社名为程敏政南京结社，社友有程敏政等5人。《篁墩文集》卷七九《灵谷寺与汪庶子平江伯司马侍御王给事严正学联句》：“元戎肯结新诗社（司马），词客能谈旧讲宗（陈）。,,,,金陵,,程敏政,《灵谷寺与汪庶子平江伯司马侍御王给事严正学联句》
775,白下诗社,明,明,成化,,,成化时期，金陵有结社名为白下诗社，社友有杨凯等。《重编琼台稿》卷二《送钱塘杨凯之南京膳部》其六：“白下吟诗社，乌衣醉酒楼。”,,,,金陵,,杨凯,《送钱塘杨凯之南京膳部》
776,檀园社,明,明,"成化,弘治",,,成、弘之际，金陵有结社名为檀园社，社友有储巏、谢承举。《江南通志》卷一六五《人物志·文苑一》：“储巏为考功，作檀园诗社，璇每擅场。”,,,,金陵,,储巏、谢承举,《人物志·文苑一》
777,瀛洲雅会,明,明,弘治,1499年,,弘治十二年，金陵有结社名为瀛洲雅会，社友倪岳、林瀚、郑纪等。《翰林记》卷二〇“瀛洲雅会”：“宏治中，南京更部尚书倪岳、吏部侍郎杨守阯、户部侍郎郑纪、礼部侍郎董越、祭酒刘震、学士马廷用，皆发身翰林者，相与醵饮，倡为瀛洲雅会，会必序齿。”,,,,金陵,,倪岳、林瀚、郑纪、杨守阯、董越、刘震、马廷用,
778,南都瀛洲会,明,明,弘治,1502年,,弘治十五年，金陵有结社名为南都瀛洲会，社友有林瀚、郑纪等。《整庵存稿》卷八《玉堂联句后序》：“南都卿大夫士出自翰林者，旧相与为瀛洲会。”,,,,金陵,,林瀚、郑纪,《玉堂联句后序》
779,盒子会,明,明,弘治,,,弘治时期，金陵有结社名为盒子会，社友有南京旧院姊妹。沈周《盒子会辞序》：“南京旧院有色业俱优者，或二十三十姓结为手帕姊妹，每上节以春檠巧具肴核赛，名盒子会。”,,,,金陵,,,
780,续瀛洲会,明,明,正德,1507年,,正德二年，金陵有结社名为续瀛洲会，社友有王华、黄珣、刘忠、马廷用、杨廷和、王勑、罗钦顺、石珤、罗玘。《翰林记》卷二〇“瀛洲雅会”：“正德二年七月，吏部尚书王华、侍郎黄珣、礼部尚书刘忠、侍郎马廷用、户部尚书杨廷和、祭酒王勑、司业罗钦顺、学士石珤、太常少卿罗玘复继之，皆倡和成卷，以梓行于时。”,,,,金陵,,王华、黄珣、刘忠、马廷用、杨廷和、王勑、罗钦顺、石珤、罗玘,
781,秣陵吟社,明,明,正德,1507年,,正德二年，金陵有结社名为秣陵吟社，社友有储罐、刘默、施懋、谢承举。司马泰《三余雅会诗序》：“正德间，户部侍郎海陵柴墟储公巏复继之，乃与挥使刘公默、士人施公懋、谢公承举，凡十人游，题曰‘秣陵吟社’。”,,,,金陵,,储罐、刘默、施懋、谢承举,《三余雅会诗序》
782,金陵耆英会,明,明,正德,1514年,,正德九年，金陵有结社名为金陵耆英会，社友有陈寿。《整庵存稿》卷一八《少司马陈公进大司寇致仕侨居金陵》：“都人拭目耆英会，莫遣风流擅洛阳。”,,,,金陵,,陈寿,《少司马陈公进大司寇致仕侨居金陵》
783,顾氏馆曲会,明,明,万历,1585年,,万历十三年，金陵有结社名为顾氏馆曲会，社友有潘之恒等。潘之恒《初艳》：“余结冬于秦淮者三度，其在乙酉、丙戌，流连光景，所际最盛。余主顾氏馆，凡群士女而奏伎者百余场。”,,,,金陵,,潘之恒,
784,十二钗会,明,明,万历,,,万历时期，金陵有结社名为十二钗会，社友有潘之恒、杨姬等。潘之恒《杨璆姬传》：“客与诸姬为十二钗会，人各有传，语在诸传叙中。一时声动白下，为都人士称赏云。”,,,,金陵,白下,潘之恒、杨姬,
785,白门社,明,明,万历,1593年,,万历二十一年，金陵有结社名为白门社，社友有黄居中等数十人。《赠白门社诸君》其一：“南朝都建康，颇亦谈文事。中原委胡尘，大雅旷焉寄。”,,,,金陵,,黄居中,
786,南京文酒会,明,明,万历,1600年,,万历二十八年，金陵有结社名为南京文酒会，社友有龙膺、屠隆等十六人。汪效倚《潘之恒年表》万历二十八年庚子（1600）：“龙膺与屠隆等在南京倡文酒会。”,,,,金陵,,龙膺、屠隆,
787,金陵大社,明,明,万历,1604年,,万历三十二年，金陵有结社名为金陵大社，社友有张幼于等共一百六十人。《列朝诗集小传》丁集上“齐王孙承彩”云：“万历甲辰中秋，开大社于金陵，胥会海内名士，张幼于辈分赋授简百二十人，秦淮妓女马湘兰以下四十余人。”,,,,金陵,,张幼于、马湘兰,
788,清凉台诗会,明,明,万历,1605年,,万历三十三年，金陵有结社名为清凉台诗会，社友有谢肇淛等二十多人。《怀金陵诸同社》：君听白门莺，我醉燕市酒。,,,,金陵,,谢肇淛,
789,秦淮曲会,明,明,万历,1606年,,万历三十四年，金陵有结社名为秦淮曲会，社友有潘之恒、陈夜舒等。潘之恒《虹台》：“昔在丙午秋冬之交，余从秦淮联曲宴之会几六、七举。”,,,,金陵,,潘之恒、陈夜舒,
790,丁未灯宵曲会,明,明,万历,1607年,,万历三十五年，金陵有结社名为丁未灯宵曲会，社友有潘之恒、陈夜舒等。潘之恒《虹台》：“丁未灯宵，夜舒乘轩初税，表襄成楼而居之。同社一再宴叙，恍登梦境，非雾非烟，疑秦青、绛树冉冉林端。”,,,,金陵,,潘之恒、陈夜舒,
791,蒋鸣寓结社,明,明,万历,,,万历时期，金陵有结社名为蒋鸣寓结社，社友有潘之恒、蒋鸣寓等。潘之恒《朱无瑕传》：“无瑕，字泰玉……至己酉，冰华生结社秦淮，而声益振。先是蒋公鸣寓，见其《闰怨诗》，逼一觐，与定交。始招集诸子联社曲中。”,,,,金陵,秦淮,潘之恒、蒋鸣寓,《闰怨诗》
792,潘之恒秦淮大社,明,明,万历,1609年,,万历三十七年，金陵有结社名为潘之恒秦淮大社，社友有潘之恒、俞羡长、王太古、朱无瑕、傅灵修等。胡梅《万历己酉秋初游白下，潘景升、俞羨长、王太古、柳陈甫、江仲嘉诸社长，留结秦淮大社，以病辞归，酒半书怀写置壁间》。,,,,金陵,,潘之恒、俞羡长、王太古、朱无瑕、傅灵修、柳陈甫、江仲嘉,
793,冶城大社,明,明,万历,1609年,,万历三十七年，金陵有结社名为冶城大社，社友有袁中道、俞羡长等三十余人。袁中道《游居柿录》卷三：“大会文士三十人于秦淮水阁，各分题怀去。……移入秦淮渡口河房，月下泛小舟。词客三十余人，大会于秦淮水阁，女校书二人，为朱无瑕、傅灵修。”,,,,金陵,秦淮,袁中道、俞羡长、朱无瑕、傅灵修,
794,画社,明,明,万历,,,万历时期，金陵有结社名为画社，社友有王文耀。《二续金陵琐事》上卷“画社”：“少冈王文耀普画，乃利家之出色者，且好事，多收宋元名笔，因结一画社于秦淮，邀而入社者皆名流。”,,,,金陵,秦淮,王文耀,
795,金陵萍社,明,明,万历,,,万历时期，金陵有结社名为金陵萍社，社友有谢寓中、林昂等。《大泌山房集》卷一二九《萍社草题辞》：“《萍社草》者，福唐谢寓中、林昂与其犹子凡夫三人作也。”,,,,金陵,,谢寓中、林昂,《萍社草题辞》、《萍社草》
796,“长生馆会”金陵结社,明,明,万历,1617年,,万历四十五年，金陵有结社名为长生馆会，社友有焦竑、钟惺等。《隐秀轩集》卷八《长生馆诗》引：“长生馆者，湖惟玄武，山则蒋陵，焦漪园先生倡众置馆于其中焉。”,,,,金陵,玄武、蒋陵,焦竑、钟惺,《长生馆诗》
797,潘之恒青溪社,明,明,万历,1619年,,万历四十七年，金陵有结社名为潘之恒青溪社，社友有潘之恒、屠隆等。黄居中《潘髯翁戊已新集叙》：“己未客白门，僦居青溪，有《青溪社草》。”,,,,金陵,青溪,潘之恒、屠隆,《青溪社草》
798,午日秦淮大社,明,明,万历,1619年,,万历四十七年，金陵有结社名为午日秦淮大社，社友有潘之恒、钟惺、谭元春等。《书影》卷二：“止生名元仪，初入金陵，作午日秦淮大社。”,,,,金陵,,潘之恒、钟惺、谭元春,
799,白门新社,明,明,万历,1619年,,"万历四十七年，金陵有结社名为白门新社，社友有杜大成等一百四十余
人。《列朝诗集小传》丁集上：“白门新社诸诗人”：“万历末年，闽人谢雒辑《白门新社诗》八卷，凡一百四十人。”",,,,金陵,,杜大成,《白门新社诗》
800,金陵大会/国门广业社初集,明,明,崇祯,1630年,,崇祯三年，金陵有结社名为金陵大会/国门广业社初集，社友有姚澣等几二千人。《静志居诗话》：“载酒征歌，大会‘复社’同人于秦淮河上，几二千人，聚其文为国门广业。”,,,,金陵,秦淮,姚澣,
801,复社同年会,明,明,崇祯,1630年,,崇祯三年，金陵有结社名为复社同年会，社友有陈子龙等人。《思旧录·张溥》：“庚午，同试于南都，为会于秦淮舟中，皆一时同年，杨维斗、陈卧子、彭燕又、吴骏公、万年少、蒋楚珍、吴来之。尚有数人忘之。”,,,,金陵,秦淮,陈子龙、杨维斗、陈卧子、彭燕又、吴骏公、万年少、蒋楚珍、吴来之,
802,星社,明,明,崇祯,1630年,,崇祯三年，金陵有结社名为星社，社友有吴馡等近百人。《复社姓氏传略》卷四：“吴馡，字众香，住城南委巷。举时文社于天界寺，集者近百人，拈题二首，未午而罢。”,,,,金陵,天界寺,吴馡,
803,谭元春金陵结社,明,明,崇祯,,,崇祯时期，金陵有结社名为谭元春金陵结社，社友有黄道周、谭友夏等。《石斋黄公逸事》：“黄冈杜巷略先生客金陵，习明季诸前辈遗事，尝言崇祯某年，余中丞集生与谭友夏结社金陵，适石斋黄公来游，与订交。”,,,,金陵,,黄道周、谭友夏,
804,桃叶渡大会,明,明,崇祯,1635年,,崇祯八年，金陵有结社名为桃叶渡大会，社友有冒襄等。《往昔行跋》：“我因四方同人至，止出百余金，赁桃叶河房前后厅堂楼阁凡九，食客日百人，又在通都大市，明日往来余寓，怀宁敛迹矣。”,,,,金陵,,冒襄,
805,国门广业社,明,明,崇祯,1636年,,崇祯九年，金陵有结社名为国门广业社，社友有杨龙友、方密之等。吴应箕《国门广业序》：“豪举者挟资来，酒呼徒，征歌选伎，罗有之矣。……葵酉则举杨龙友、方密之，再一举行，而莫盛于姚北若丙子之役。”,,,,金陵,,杨龙友、方密之,
806,楼船雅集,明,明,崇祯,1636年,,崇祯九年，金陵有结社名为楼船雅集，社友有姚北若等。《板桥杂记》：“嘉兴姚北若，用十二楼船于秦淮。招集四方应试知名之士百余人，每船邀名妓四人侑酒。梨园一部，灯火笙歌，为一时之盛事。”,,,,金陵,秦淮,姚北若,
807,眉楼雅集,明,明,崇祯,1636年,,崇祯九年，金陵有结社名为眉楼雅集，社友有张亮、冒襄等。《板桥杂记》：“岁丙子，金沙张公亮、吕霖生、盐官陈则梁、漳浦刘渔仲、如皋冒辟疆盟于眉楼。”,,,,金陵,,张亮、冒襄、吕霖生、陈则梁、刘渔仲,
808,秦淮诗社,明,明,崇祯,1636年,,崇祯九年，金陵有结社名为秦淮诗社，社友有顾梦游等。《同治重修苏州府志》卷八二：“吴时德，字明之，一字不官，洞庭东山人，天怀高旷，壮岁弃举子业，肆力风骚，王潢、顾梦游诸人招入秦淮诗社，有五字长发。”,,,,金陵,,顾梦游、吴时德、王潢,
809,复社公揭大会,明,明,崇祯,1638年,,崇祯十一年，金陵有结社名为复社公揭大会，社友有顾杲、黄宗羲等。《南都防乱公揭》：“顾杲、黄宗羲、魏学濂、左国柱、姚宗典、杨廷枢、张自烈、周钟、陈贞慧……等谨合词具揭：为捐躯捋虎，为国投豺，留都可立清乱萌，逆珰庶不遗余孽，撞钟伐鼓，以答升平事。”,,,,金陵,,顾杲、黄宗羲、魏学濂、左国柱、姚宗典、杨廷枢、张自烈、周钟、陈贞慧,
810,秦淮大社,明,明,崇祯,1639年,,崇祯十二年，金陵有结社名为秦淮大社，社友有顾梦游等。《顾与治诗集》卷八《社集秦淮，分得淮字，时薛千仞、郑超宗、杨龙友将行》：山水频高会，烟光如更佳。,,,,金陵,,顾梦游、薛千仞、郑超宗、杨龙友,《社集秦淮，分得淮字，时薛千仞、郑超宗、杨龙友将行》
811,国门广业社四集,明,明,崇祯,1639年,,崇祯十二年，金陵有结社名为国门广业社四集，社友有黄宗羲等。黄宗羲《陈定生先生墓志铭》云：“崇祯己卯，金陵解试，先生、次尾举国门广业之社，大略揭中人也。”,,,,金陵,,黄宗羲,
